,game_id,season,away_team,home_team,away_fouls,home_fouls,away_fouls_std_dev,home_fouls_std_dev
0,20001062,0,VAN,UTA,19,21,-0.575465584716062,-0.7244326313771428
1,20000685,0,TOR,BOS,18,21,-0.7237802557073651,-0.46019868728351304
2,20000562,0,LAC,BOS,23,14,0.28204549635276077,-1.9196133088345435
3,20000224,0,PHI,CHH,25,22,0.2866506528028162,0.09977715316586569
4,20000081,0,TOR,CLE,18,17,-0.7237802557073651,-1.3249333404747885
5,20001110,0,SEA,MIL,20,19,-0.5661341316451487,-0.5468411579689233
6,20000222,0,SEA,LAL,22,25,-0.038600054430350646,0.1276284609368679
7,20000649,0,IND,BOS,28,26,1.1764486798365086,0.5822403281100801
8,20001140,0,WAS,ORL,28,25,0.8954925972146397,0.2902976691552235
9,20000106,0,HOU,CHI,27,17,1.1286939994204168,-0.9457355494546515
10,20000024,0,SAS,MIN,26,21,0.4819684094246169,0.20965522806148246
11,20000534,0,SEA,PHX,24,25,0.4889340227844474,0.6982950466935613
12,20000298,0,SAC,MIA,30,26,1.681350110382124,0.8289289847748561
13,20000216,0,VAN,PHX,32,25,2.345707335794994,0.6982950466935613
14,20000942,0,WAS,LAL,22,22,-0.4727755948027604,-0.5264674013645795
15,20000524,0,LAC,ATL,24,18,0.5361963831761276,-0.6381412477925069
16,20000502,0,WAS,SEA,22,26,-0.4727755948027604,1.0164680999992455
17,20001028,0,SAC,LAL,24,20,0.48938432607664145,-0.9625313095655444
18,20001020,0,BOS,ATL,25,23,0.3737525250313615,0.5511219867298921
19,20000883,0,SAC,PHX,20,14,-0.30525953012701357,-2.0402359625133624
20,20000618,0,WAS,PHX,25,25,0.21135850120593963,0.6982950466935613
21,20000646,0,NJN,DET,26,30,1.0415034986101335,1.12629614920553
22,20000856,0,MIA,CLE,15,21,-1.5986487563515073,-0.2802743604850516
23,20000704,0,SEA,POR,17,15,-1.357435247467346,-1.3432755209483067
24,20000001,0,PHI,NYK,30,24,1.3359967925274103,0.6025461771739837
25,20001055,0,CHH,BOS,20,18,-0.35476321125641275,-1.0856620965196688
26,20000274,0,VAN,UTA,28,24,1.4468848987146692,-0.09913288639897759
27,20000848,0,HOU,DAL,20,17,-0.3337673000543445,-1.4114239724039495
28,20000927,0,SAC,MIA,19,12,-0.5039204941779273,-2.2607154130223335
29,20000954,0,DET,ATL,22,18,-0.7301115741081067,-0.6381412477925069
30,20000368,0,SEA,SAC,15,19,-1.884969324682144,-0.5039204941779273
31,20000411,0,PHI,GSW,21,19,-0.5528262589768591,-0.5496645277404466
32,20000469,0,VAN,PHX,26,22,0.9974736801745067,-0.048577046726508664
33,20000878,0,MIA,DAL,17,15,-1.1572709852376228,-1.9212775659595611
34,20000423,0,WAS,MIA,20,26,-0.9288649921418938,0.8289289847748561
35,20001079,0,POR,MIN,21,22,-0.04230789042356875,0.4662481937486701
36,20000330,0,IND,CLE,27,25,0.9434322746514995,0.7643846195046853
37,20000346,0,SAC,NJN,21,20,-0.10659856607609981,-0.5400388511311797
38,20001184,0,IND,CLE,17,25,-1.3867317771985905,0.7643846195046853
39,20000482,0,DEN,CHH,19,24,-0.5114354629551153,0.5543175175881442
40,20000398,0,NJN,ATL,19,25,-0.8036292427547318,1.0268272805388516
41,20000236,0,UTA,CHH,22,25,-0.5159993830510877,0.7815876997992833
42,20000422,0,NYK,CHI,21,20,-0.0901003629419042,-0.299482923993973
43,20000008,0,MIN,HOU,17,25,-0.8167166346872682,0.7108479138561994
44,20000057,0,NYK,MIL,15,18,-1.47539344317368,-0.7506637713937038
45,20000654,0,PHI,NYK,16,17,-1.6021723987014533,-1.0136290830964214
46,20001072,0,UTA,LAL,25,26,0.10930036192707747,0.34566041503735034
47,20001038,0,IND,BOS,23,23,0.01136665391146345,-0.04322308112607576
48,20000185,0,MIA,HOU,23,24,0.16686232810402976,0.5019248710740906
49,20000981,0,MIL,LAL,28,24,1.2875623628541006,-0.09040349316361457
50,20000150,0,UTA,DAL,21,22,-0.7244326313771428,-0.1367899885149199
51,20000414,0,MIL,CLE,25,24,0.6760945225797594,0.503219874507251
52,20000650,0,MIL,DEN,22,22,0.06462668230541807,0.11763015647967688
53,20001153,0,VAN,HOU,12,18,-2.148404849606631,-0.7516133856185621
54,20000628,0,SEA,NJN,27,20,1.2802351386066446,-0.5400388511311797
55,20000640,0,TOR,PHI,17,19,-0.9115966511757321,-0.9725647148666968
56,20001050,0,MIA,CHI,25,20,0.608240099217914,-0.299482923993973
57,20000173,0,MIA,CLE,23,23,0.16686232810402976,0.24205512950981684
58,20000583,0,MIA,LAL,30,30,1.7116845270026246,1.2177882314392803
59,20001077,0,TOR,CLE,22,26,0.027485326166102154,1.0255493645021196
60,20000247,0,SEA,GSW,23,22,0.2251669841770484,0.10355998348733075
61,20000898,0,TOR,SEA,24,19,0.40311811710283585,-0.8299011702525477
62,20000872,0,TOR,SAC,22,33,0.027485326166102154,2.2773330025348653
63,20001078,0,PHI,DET,23,23,-0.13308780308702145,-0.4980606086939021
64,20000634,0,MIN,MIL,22,25,0.4662481937486701,0.6760945225797594
65,20000637,0,GSW,CHH,19,18,-0.5496645277404466,-0.8093035756786913
66,20000419,0,UTA,POR,35,33,2.193632845187628,2.559627370625907
67,20000784,0,PHX,NYK,18,23,-1.0444065046199353,0.3716639971353544
68,20000750,0,PHX,PHI,20,22,-0.546491775673222,-0.3429570310319403
69,20001086,0,SAS,DEN,22,14,-0.36795437708761036,-1.5598781620131024
70,20000879,0,HOU,ATL,30,17,1.7554631277667432,-0.8759938946969867
