game_id,season,away_team,home_team,away_fouls,home_fouls
20000720,0,PHX,GSW,17,13
20000523,0,ORL,GSW,24,28
20000521,0,POR,NYK,24,27
20000933,0,UTA,GSW,20,24
20000271,0,PHX,MIL,23,21
20001168,0,GSW,DAL,34,29
20001129,0,NYK,IND,23,20
20000327,0,PHI,DAL,24,19
20000264,0,IND,CHH,22,23
20000488,0,NJN,CLE,20,18
20000690,0,NJN,ATL,29,30
20000144,0,NYK,GSW,14,19
20000473,0,NJN,GSW,29,28
20000171,0,ORL,BOS,25,32
20000749,0,NJN,LAC,31,23
20000196,0,VAN,NYK,23,16
20000700,0,SAS,CLE,21,16
20000046,0,SEA,POR,28,18
20000529,0,UTA,LAL,30,27
20000971,0,ORL,CHI,24,21
20000676,0,POR,LAC,20,16
20000923,0,IND,HOU,34,33
20001163,0,SEA,DAL,19,28
20000265,0,CLE,CHI,20,25
20000462,0,WAS,CHI,24,23
20000839,0,ORL,CLE,30,28
20000034,0,NJN,CHH,20,28
20000763,0,WAS,VAN,24,30
20000579,0,TOR,PHI,19,22
20000341,0,MIN,IND,31,29
20001170,0,NJN,CHI,19,25
20000770,0,POR,DEN,20,20
20000157,0,SEA,DAL,27,22
20000296,0,TOR,PHX,27,20
20000737,0,PHI,LAC,21,21
20001147,0,MIN,LAC,26,27
20001003,0,SEA,HOU,15,17
20000697,0,NYK,DAL,20,16
20001005,0,ORL,IND,20,24
20000410,0,SEA,HOU,22,11
20000712,0,TOR,CLE,26,26
20000167,0,PHX,NJN,24,18
20000758,0,CLE,CHI,22,19
20000328,0,WAS,CHH,28,23
20000834,0,MIL,HOU,21,19
20000042,0,UTA,DAL,30,30
20000354,0,UTA,TOR,19,22
20001007,0,VAN,TOR,18,17
20000698,0,PHI,HOU,21,22
20001087,0,UTA,SAC,21,24
20000060,0,POR,ATL,18,25
20001189,0,SEA,SAS,12,14
20000066,0,MIL,IND,22,26
20000989,0,SAC,DET,21,20
20001138,0,NYK,ATL,19,13
20000826,0,HOU,CHI,24,14
20000747,0,POR,BOS,15,26
20000796,0,PHI,CHH,19,20
20000536,0,PHI,CHH,21,20
20000270,0,ORL,DEN,24,24
20001013,0,UTA,DAL,23,25
20001178,0,SAS,POR,19,15
20000415,0,SAS,CHI,30,22
20000975,0,PHI,LAC,16,19
20000465,0,GSW,BOS,24,16
20000217,0,CHI,ATL,26,26
20000300,0,PHX,CHI,23,18
20000980,0,ORL,IND,15,23
20000475,0,MIA,BOS,18,17
20001128,0,TOR,DET,19,26
20000345,0,NYK,MIL,32,30
20000219,0,HOU,DEN,28,27
20000433,0,TOR,PHX,33,30
20000489,0,DAL,CHI,23,16
20000154,0,ORL,NYK,24,19
20001179,0,CHH,BOS,22,20
20000375,0,MIA,CLE,31,21
20000575,0,DEN,DAL,19,22
20000097,0,LAC,DEN,21,20
20000783,0,UTA,POR,23,26
20001011,0,PHI,MIL,25,17
20001056,0,TOR,ORL,22,18
20000040,0,MIL,DET,31,30
20000395,0,WAS,POR,25,17
20000483,0,PHX,MIN,25,18
20000003,0,WAS,ORL,24,28
20000452,0,PHI,ATL,19,14
20000083,0,UTA,MIA,21,24
20000362,0,MIA,CHH,28,22
20000260,0,VAN,DET,23,20
20001015,0,NYK,GSW,16,22
20000840,0,CHH,ATL,27,22
20001175,0,MIN,HOU,20,24
20000914,0,CHI,CHH,21,20
20000291,0,POR,DET,29,32
20000732,0,WAS,SAS,16,16
20001111,0,NYK,CHH,25,24
20000069,0,MIN,DEN,20,25
20001145,0,GSW,DEN,18,16
20000294,0,DEN,BOS,33,33
20000142,0,SEA,LAC,26,24
20000829,0,VAN,UTA,19,17
20001117,0,ORL,CLE,20,28
20000974,0,WAS,PHX,28,23
20000239,0,POR,HOU,21,16
20000334,0,VAN,LAL,19,14
20000573,0,VAN,MIA,17,20
20001158,0,DET,CHH,22,22
20000178,0,UTA,NJN,24,26
20000367,0,MIN,LAC,20,25
20000539,0,NJN,ATL,22,21
20001188,0,VAN,GSW,22,21
20000755,0,WAS,DEN,20,20
20000956,0,PHX,DAL,23,23
